"Rank","Title","Year","Genre","Rated","Runtime","Star_Rating","Director"
93,"Teen Spirit",2011,"Comedy, Drama, Fantasy            ","TV-PG","82 min","5.6","Gil Junger"
94,"Monster-in-Law",2005,"Comedy, Romance            ","PG-13","101 min","5.5","Robert Luketic"
95,"Prom",2011,"Comedy, Drama, Family            ","PG","104 min","5.4","Joe Nussbaum"
96,"No Strings Attached",2011,"Comedy, Romance            ","R","108 min","6.2","Ivan Reitman"
97,"I Love You, Beth Cooper",2009,"Comedy, Romance            ","PG-13","102 min","5.3","Chris Columbus"
98,"Man of the House",2005,"Comedy, Crime            ","PG-13","100 min","5.4","Stephen Herek"
99,"The In-Laws",2003,"Action, Comedy, Thriller            ","PG-13","98 min","5.7","Andrew Fleming"
100,"Friends with Benefits",2011,"Comedy, Romance            ","R","109 min","6.6","Will Gluck"
101,"Life as a House",2001,"Drama            ","R","125 min","7.5","Irwin Winkler"
102,"Silver Linings Playbook",2012,"Comedy, Drama, Romance            ","R","122 min","7.7","David O. Russell"
103,"The Cutting Edge 3: Chasing the Dream",2008,"Comedy, Drama, Romance            ","PG-13","91 min","6.4","Stuart Gillard"
104,"Sleepover",2004,"Comedy, Family, Romance            ","PG","89 min","5.4","Joe Nussbaum"
105,"From Prada to Nada",2011,"Comedy, Drama, Romance            ","PG-13","107 min","5.6","Angel Gracia"
106,"Austenland",2013,"Comedy, Romance            ","PG-13","97 min","6.3","Jerusha Hess"
107,"Beauty & the Briefcase",2010,"Comedy, Romance            ","PG-13","83 min","5.5","Gil Junger"
108,"Scoop",2006,"Comedy, Crime, Mystery            ","PG-13","96 min","6.7","Woody Allen"
109,"A Cinderella Story: Once Upon a Song",2011,"Comedy, Family, Music            ","PG","88 min","6.1","Damon Santostefano"
110,"Life-Size",2000,"Action, Adventure, Comedy            ","TV-G","101 min","5.7","Mark Rosman"
111,"The Right Kind of Wrong",2013,"Comedy, Romance            ","R","97 min","6.1","Jeremiah S. Chechik"
112,"Holiday in Handcuffs",2007,"Comedy, Crime, Family            ",NA,"86 min","6.3","Ron Underwood"
113,"The Wedding Date",2005,"Comedy, Romance            ","PG-13","90 min","6.1","Clare Kilner"
114,"All You've Got",2006,"Drama, Sport            ","PG-13","95 min","4.5","Neema Barnette"
115,"The Cutting Edge: Going for the Gold",2006,"Comedy, Drama, Romance            ","PG-13","98 min","6.4","Sean McNamara"
116,"Two Night Stand",2014,"Comedy, Romance            ","R","86 min","6.4","Max Nichols"
117,"My Best Friend's Girl",2008,"Comedy, Romance            ","R","101 min","5.9","Howard Deutch"
118,"Beyond the Lights",2014,"Drama, Music, Romance            ","PG-13","116 min","6.9","Gina Prince-Bythewood"
119,"The Fault in Our Stars",2014,"Drama, Romance            ","PG-13","126 min","7.7","Josh Boone"
120,"The Nanny Diaries",2007,"Comedy, Drama, Romance            ","PG-13","105 min","6.2","Shari Springer Berman"
121,"Vampire Academy",2014,"Action, Comedy, Drama            ","PG-13","104 min","5.5","Mark Waters"
122,"Pride & Prejudice",2005,"Drama, Romance            ","PG","129 min","7.8","Joe Wright"
123,"The Perfect Man",2005,"Comedy, Family, Romance            ","PG","100 min","5.5","Mark Rosman"
124,"A Cinderella Story",2004,"Comedy, Family, Romance            ","PG","95 min","5.9","Mark Rosman"
125,"Raise Your Voice",2004,"Family, Music, Musical            ","PG","103 min","5.9","Sean McNamara"
126,"Red Riding Hood",2011,"Fantasy, Horror, Mystery            ","PG-13","100 min","5.5","Catherine Hardwicke"
127,"Pretty Woman",1990,"Comedy, Romance            ","R","119 min","7","Garry Marshall"
128,"Stardust",2007,"Adventure, Family, Fantasy            ","PG-13","127 min","7.7","Matthew Vaughn"
129,"The Holiday",2006,"Comedy, Romance            ","PG-13","138 min","6.9","Nancy Meyers"
130,"Safe Haven",2013,"Drama, Romance, Thriller            ","PG-13","115 min","6.7","Lasse Hallström"
131,"Made of Honor",2008,"Comedy, Romance            ","PG-13","101 min","5.9","Paul Weiland"
132,"Step Up",2006,"Crime, Drama, Music            ","PG-13","104 min","6.6","Anne Fletcher"
133,"Step Up 2: The Streets",2008,"Drama, Music, Romance            ","PG-13","98 min","6.3","Jon M. Chu"
134,"Clueless",1995,"Comedy, Romance            ","PG-13","97 min","6.8","Amy Heckerling"
135,"The Other Woman",2014,"Comedy, Romance            ","PG-13","109 min","6","Nick Cassavetes"
136,"Titanic",1997,"Drama, Romance            ","PG-13","194 min","7.8","James Cameron"
137,"Sex Tape",2014,"Comedy, Romance            ","R","94 min","5.1","Jake Kasdan"
138,"Bridesmaids",2011,"Comedy, Romance            ","R","125 min","6.8","Paul Feig"
139,"Just My Luck",2006,"Comedy, Fantasy, Romance            ","PG-13","103 min","5.4","Donald Petrie"
140,"Herbie Fully Loaded",2005,"Adventure, Comedy, Family            ","G","101 min","4.8","Angela Robinson"
141,"Confessions of a Teenage Drama Queen",2004,"Comedy, Family, Music            ","PG","89 min","4.6","Sara Sugarman"
142,"The Back-up Plan",2010,"Comedy, Romance            ","PG-13","104 min","5.4","Alan Poul"
143,"Wedding Crashers",2005,"Comedy, Romance            ","R","119 min","7","David Dobkin"
144,"The Help",2011,"Drama            ","PG-13","146 min","8.1","Tate Taylor"
145,"Mad Money",2008,"Comedy, Crime, Thriller            ","PG-13","104 min","5.8","Callie Khouri"
146,"Picture This",2008,"Comedy, Drama, Romance            ","PG-13","92 min","5.4","Stephen Herek"
147,"Cow Belles",2006,"Comedy, Family, Romance            ","TV-G","90 min","5.3","Francine McDougall"
148,"Four Christmases",2008,"Comedy, Drama, Romance            ","PG-13","88 min","5.7","Seth Gordon"
149,"The Dilemma",2011,"Comedy, Drama            ","PG-13","111 min","5.3","Ron Howard"
150,"The Notebook",2004,"Drama, Romance            ","PG-13","123 min","7.9","Nick Cassavetes"
151,"Lovestruck: The Musical",2013,"Comedy, Fantasy, Musical            ",NA,"83 min","6.4","Sanaa Hamri"
152,"Baby Mama",2008,"Comedy, Romance            ","PG-13","99 min","6","Michael McCullers"
153,"Crimes of Fashion",2004,"Comedy            ",NA,"90 min","4.9","Stuart Gillard"
154,"Arthur",2011,"Comedy, Romance            ","PG-13","110 min","5.7","Jason Winer"
155,"Just Friends",2005,"Comedy, Romance            ","PG-13","96 min","6.2","Roger Kumble"
156,"The Single Moms Club",2014,"Comedy, Drama            ","PG-13","111 min","5.3","Tyler Perry"
157,"The Wedding Planner",2001,"Comedy, Romance            ","PG-13","103 min","5.3","Adam Shankman"
158,"The Other Boleyn Girl",2008,"Biography, Drama, History            ","PG-13","115 min","6.7","Justin Chadwick"
159,"Sabrina, Down Under",1999,"Action, Adventure, Comedy            ",NA,"120 min","5.4","Kenneth R. Koch"
160,"Revenge of the Bridesmaids",2010,"Comedy, Romance            ","PG-13","95 min","6.1","James Hayman"
161,"The Duff",2015,"Comedy, Romance            ","PG-13","101 min","6.5","Ari Sandel"
162,"Bend It Like Beckham",2002,"Comedy, Drama, Romance            ","PG-13","112 min","6.7","Gurinder Chadha"
163,"You, Me and Dupree",2006,"Comedy, Romance            ","PG-13","110 min","5.6","Anthony Russo"
164,"Mona Lisa Smile",2003,"Drama            ","PG-13","117 min","6.5","Mike Newell"
165,"Flipped",2010,"Comedy, Drama, Romance            ","PG","90 min","7.7","Rob Reiner"
166,"Twitches",2005,"Comedy, Drama, Family            ","TV-PG","86 min","5.8","Stuart Gillard"
167,"The Cheetah Girls",2003,"Comedy, Drama, Family            ","TV-G","100 min","4.9","Oz Scott"
168,"The Cheetah Girls 2",2006,"Comedy, Drama, Family            ","TV-G","96 min","5.1","Kenny Ortega"
169,"Pitch Perfect 2",2015,"Comedy, Music            ","PG-13","115 min","6.4","Elizabeth Banks"
170,"The First Wives Club",1996,"Comedy            ","PG","103 min","6.3","Hugh Wilson"
171,"Uptown Girls",2003,"Comedy, Drama, Romance            ","PG-13","92 min","6.1","Boaz Yakin"
172,"The Prince and Me",2004,"Comedy, Family, Romance            ","PG","111 min","5.9","Martha Coolidge"
173,"Sweet Home Alabama",2002,"Comedy, Romance            ","PG-13","108 min","6.2","Andy Tennant"
174,"Raising Helen",2004,"Comedy, Drama, Romance            ","PG-13","119 min","6","Garry Marshall"
175,"Kate & Leopold",2001,"Comedy, Fantasy, Romance            ","PG-13","118 min","6.4","James Mangold"
176,"Ice Princess",2005,"Comedy, Drama, Family            ","G","98 min","6","Tim Fywell"
177,"Love, Rosie",2014,"Comedy, Romance            ","R","102 min","7.2","Christian Ditter"
178,"Mike and Dave Need Wedding Dates",2016,"Adventure, Comedy, Romance            ","R","98 min","6","Jake Szymanski"
179,"Me Before You",2016,"Drama, Romance            ","PG-13","106 min","7.4","Thea Sharrock"
180,"Everything, Everything",2017,"Drama, Romance            ","PG-13","96 min","6.4","Stella Meghie"
181,"Love Actually",2003,"Comedy, Drama, Romance            ","R","135 min","7.6","Richard Curtis"
182,"Step Sisters",2018,"Comedy            ","PG-13","108 min","5.4","Charles Stone III"
183,"A Christmas Prince",2017,"Comedy, Romance            ","TV-PG","92 min","5.7","Alex Zamm"
184,"Girls Trip",2017,"Comedy, Drama            ","R","122 min","6.2","Malcolm D. Lee"
185,"First Daughter",2004,"Comedy, Drama, Romance            ","PG","106 min","5","Forest Whitaker"
186,"The Kissing Booth",2018,"Comedy, Romance            ","TV-14","105 min","6.2","Vince Marcello"
187,"To All the Boys I've Loved Before",2018,"Drama, Romance            ","TV-14","99 min","7.3","Susan Johnson"
188,"Crazy Rich Asians",2018,"Comedy, Romance            ","PG-13","120 min","7","Jon M. Chu"
189,"I Feel Pretty",2018,"Comedy, Romance            ","PG-13","110 min","5.4","Abby Kohn"
190,"Set It Up",2018,"Comedy, Romance            ","TV-14","105 min","6.5","Claire Scanlon"
191,"Isn't It Romantic",2019,"Comedy, Fantasy, Romance            ","PG-13","89 min","6","Todd Strauss-Schulson"
